keyword;phrase;procedure_id;suggestion
archimed;access to menu SWIFT Transactions;PROC_001;AD: Add to group 'APG Archimed' for SWIFT Transactions access.
mfa|account|password|error|login;Mfa account password error login;PROC_002;Needs MFA reset.
mail|permission|access denied|email;Permissions denied, access denied;PROC_017;AD: Needs APG Mail group.
crm|groups;Crm access;PROC_015;AD: Add to APG CRM Admin group.
каса|главна|киб|заместване;КИБ с Каса, главна каса, заместване на мениджър;PROC_003;BankWay: Chage JD and access levels.
сбо|remote|overwrite|swift|bisera;СБО remote overwrite with swift бисера;PROC_004;BankWay: Change JD to BRIBRK6.
clavis|оператор|swift;Клавис оператор;PROC_016;AD: Add to APG CLAVIS Admin group.
извлечения|жалби|;Извлечения по жалби на клиента;PROC_014;BankWay: Assign DK1313 to JD.
vpn;Vpn access required;PROC_007;Advise user to restart their VPN client and check network connection.
ssl|certificate|error;Ssl error, certificate required, error;PROC_008;Clear browser cache and retry. If issue persists, contact IT.
wireless;Wifi for office, wireless access;PROC_009;AD: Add user to APG Wireless Admin group.
clavis;Access to calvis, достъп до клавис;PROC_016;AD: Add user to APG CLAVIS Admin group.
crm admin;Crm administrator;PROC_015;AD: Add user to APG CRM Admin group.
apg mail;Outlook mail, email, teams and outlook;PROC_017;AD: Add user to APG Mail group.
account locked;Account lock, account disabled;PROC_010;AD: Unlock account.
password expired;Password not working, need new password, I can’t login;PROC_011;AD: Reset user password.
permission denied|access denied;Need access to BankWay;PROC_003;BankWay: Grant the user the necessary permissions.
general error;A general error has occurred;PROC_012;Advise user to restart application, or contact IT support.